sub_area,value
Bibirevo,15.594247302959994
Nagatinskij Zaton,15.864842484889207
Tekstil'shhiki,15.613140912985648
Mitino,15.914449243424706
Basmannoe,16.091226781242412
Nizhegorodskoe,15.485264282387343
Sokol'niki,16.114676893657208
Koptevo,15.604641528875847
Kuncevo,15.765432470500368
Kosino-Uhtomskoe,15.530455423511325
Zapadnoe Degunino,15.388979646017786
Presnenskoe,16.035761985565525
Lefortovo,15.67054481679128
Mar'ino,15.69626871914369
Kuz'minki,15.502661848502148
Nagornoe,15.953572581621573
Gol'janovo,15.417157405676486
Vnukovo,15.342207744111885
Juzhnoe Tushino,15.61401445013938
Severnoe Tushino,15.77877784326621
Chertanovo Central'noe,15.642011426541199
Fili Davydkovo,15.700234213821487
Otradnoe,15.627700790656306
Novo-Peredelkino,15.549344162446525
Bogorodskoe,15.51767624973682
Jaroslavskoe,15.524631038656949
Strogino,15.886118551219413
Hovrino,15.779766274455644
Moskvorech'e-Saburovo,15.695799677271351
Staroe Krjukovo,15.210026944234318
Ljublino,15.523196960645539
Caricyno,15.480873265072336
Veshnjaki,15.460857388715501
Danilovskoe,15.903109632091741
Preobrazhenskoe,15.555297806854893
Kon'kovo,15.833716953583018
Brateevo,15.592909871550455
Vostochnoe Izmajlovo,15.36067952896751
Vyhino-Zhulebino,15.551409977407637
Donskoe,15.998809521154723
Novogireevo,15.513686773403911
Juzhnoe Butovo,15.587765612698956
Sokol,15.847874737027382
Kurkino,16.29701689163869
Izmajlovo,15.846923341634833
Severnoe Medvedkovo,15.599542914139256
Rostokino,15.585567127546934
Orehovo-Borisovo Severnoe,15.584793170351514
Ochakovo-Matveevskoe,15.696902331196533
Taganskoe,15.818935779448195
Dmitrovskoe,15.46061835536772
Orehovo-Borisovo Juzhnoe,15.627039763868632
Teplyj Stan,15.74454967215569
Babushkinskoe,15.670704965625996
Pokrovskoe Streshnevo,15.86642997003532
Obruchevskoe,16.158854887338734
Filevskij Park,15.80824456834913
Troparevo-Nikulino,16.094773244258473
Severnoe Butovo,15.719260794543695
Hamovniki,16.610747198862367
Solncevo,15.422408788499578
Dorogomilovo,16.1784904832127
Timirjazevskoe,15.652083089181705
Lianozovo,15.579178960240315
Pechatniki,15.426166117732649
Krjukovo,15.500633598423489
Jasenevo,15.792100990422565
Chertanovo Severnoe,15.716003858961058
Rjazanskij,15.597705384558521
Silino,15.455430518010987
Ivanovskoe,15.455519099886315
Golovinskoe,15.512193106378046
Novokosino,15.712237831652116
Nagatino-Sadovniki,15.692486255940254
Birjulevo Vostochnoe,15.413310112598833
Severnoe Izmajlovo,15.47244521869144
Sokolinaja Gora,15.631758675268047
Vostochnoe Degunino,15.57803957537738
Prospekt Vernadskogo,16.07843667693546
Savelki,15.263679346789418
Ajeroport,15.941682540154831
Vojkovskoe,15.841999123236633
Beskudnikovskoe,15.527129251641478
Krylatskoe,16.20094437355808
Juzhnoportovoe,15.878414841375903
Perovo,15.478808441992186
Akademicheskoe,15.915494136394901
Horoshevo-Mnevniki,15.674459971338365
Shhukino,15.834937546958729
Kapotnja,15.40553778269299
Horoshevskoe,15.976956000847698
Marfino,15.552970273823004
Chertanovo Juzhnoe,15.645968496157016
Savelovskoe,15.753438254754244
Birjulevo Zapadnoe,15.384509639438859
Nekrasovka,15.4720184356929
Cheremushki,15.848608875393882
Sviblovo,15.772507979821105
Alekseevskoe,15.795133741226318
Krasnosel'skoe,16.077179874912552
Kotlovka,15.65118790989764
Zjuzino,15.708296623787634
Ostankinskoe,15.806261464243159
Tverskoe,15.585971976861398
Losinoostrovskoe,15.69318665025173
Butyrskoe,15.661817562516516
Matushkino,15.252663408870015
Metrogorodok,15.493749148438795
Juzhnoe Medvedkovo,15.483580692586354
Lomonosovskoe,16.209546071928596
Jakimanka,16.009755151778965
Mozhajskoe,15.590429954114514
Levoberezhnoe,15.80938401415568
Mar'ina Roshha,15.777800666706908
Gagarinskoe,16.17007776864254
Zamoskvorech'e,16.415669823244347
Altuf'evskoe,15.312836161475138
Ramenki,16.104521804054844
Zjablikovo,15.588127698081886
Meshhanskoe,16.01132748781319
Severnoe,15.443098720876748
Begovoe,16.052713365823795
Arbat,16.354411337922205
Poselenie Sosenskoe,15.436399858261534
Poselenie Moskovskij,15.48655800553241
Poselenie Pervomajskoe,15.33046743275744
Poselenie Desjonovskoe,15.277607186633759
Poselenie Voskresenskoe,15.46116600838499
Poselenie Mosrentgen,15.265288647175296
Troickij okrug,15.368359936568888
Poselenie Shherbinka,15.201596413864705
Poselenie Filimonkovskoe,14.970676397515767
Poselenie Vnukovskoe,15.602230398625933
Poselenie Marushkinskoe,14.770769931467862
Poselenie Shhapovskoe,14.888651949307265
Poselenie Rjazanovskoe,15.440190774990443
Poselenie Kokoshkino,14.920879309153571
Vostochnoe,15.366582255502413
Poselenie Krasnopahorskoe,14.971050320892902
Poselenie Novofedorovskoe,14.795260592435026
Poselenie Voronovskoe,15.064282968638432
Poselenie Klenovskoe,13.815511557963774
Poselenie Rogovskoe,15.664443762153034
Poselenie Kievskij,15.899303538794223
Molzhaninovskoe,14.505308262936431
Poselenie Mihajlovo-Jarcevskoe,15.062543139106936
